Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
CENPE	0	0	0	0	5	0	0	0	0	5	1	1
CLCNKB	0	0	0	0	5	0	0	0	0	5	1	1
CLTCL1	0	0	0	0	5	0	0	0	0	5	1	1
COL11A1	1	0	0	0	4	0	0	0	0	5	1	1
COL17A1	0	0	0	0	5	0	0	0	0	5	1	1
CSNK2A3	0	0	0	0	5	0	0	0	0	5	1	1
CUBN	0	0	0	0	5	0	0	0	0	5	1	1
DENND3	0	0	0	0	4	0	0	0	1	5	1	1
DISP2	0	0	0	0	5	0	0	0	0	5	1	1
DNAI4	1	0	0	0	4	0	0	0	0	5	1	1
EIF5AL1	0	0	1	0	4	0	0	0	0	5	1	1
ENST00000467614	0	0	0	0	5	0	0	0	0	5	1	1
ENST00000598234	0	0	0	0	5	0	0	0	0	5	1	1
ESYT2	0	0	0	0	3	0	0	2	0	5	1	1
FLNC	0	0	0	0	4	1	0	0	0	5	1	1
GOLGB1	1	0	0	0	4	0	0	0	0	5	1	1
GSAP	0	0	0	0	5	0	0	0	0	5	1	1
HAP1	1	0	0	0	4	0	0	0	0	5	1	1
HIVEP1	0	0	0	0	5	0	0	0	0	5	1	1
HMCN1	0	0	0	0	5	0	0	0	0	5	1	1
HPS4	0	0	0	0	5	0	0	0	0	5	1	1
HSPG2	0	0	0	0	5	0	0	0	0	5	1	1
IFI16	0	0	0	0	3	0	0	2	0	5	1	1
INPP5J	2	0	0	0	3	0	0	0	0	5	1	1
KIAA1109	1	0	1	0	3	0	0	0	0	5	1	1
KIF20B	0	0	0	0	5	0	0	0	0	5	1	1
KNL1	0	0	0	0	5	0	0	0	0	5	1	1
LAMA3	1	1	0	0	3	0	0	0	0	5	1	1
LTBP2	2	0	0	0	3	0	0	0	0	5	1	1
MLPH	0	0	0	0	5	0	0	0	0	5	1	1
MOCOS	0	0	0	0	5	0	0	0	0	5	1	1
MRC2	0	0	0	0	4	1	0	0	0	5	1	1
MST1	1	0	0	0	4	0	0	0	0	5	1	1
MT-CYB	0	0	0	0	5	0	0	0	0	5	1	1
MYO15B	0	0	0	0	5	0	0	0	0	5	1	1
N4BP2	0	0	0	0	5	0	0	0	0	5	1	1
NACA	0	0	0	0	4	0	0	1	0	5	1	1
NBEA	2	0	0	0	3	0	0	0	0	5	1	1
NUPR2	0	0	0	0	5	0	0	0	0	5	1	1
OAS1	0	0	0	0	4	0	0	1	0	5	1	1
PATJ	0	0	0	0	4	0	0	1	0	5	1	1
PCDHB7	0	0	0	0	5	0	0	0	0	5	1	1
PDE4DIP	1	0	0	0	4	0	0	0	0	5	1	1
PRR12	0	0	0	0	5	0	0	0	0	5	1	1
PRRT3	0	1	0	0	4	0	0	0	0	5	1	1
PXN	1	0	0	0	4	0	0	0	0	5	1	1
RGPD2	0	0	0	0	5	0	0	0	0	5	1	1
RRP12	0	0	0	0	5	0	0	0	0	5	1	1
SAMD15	1	0	0	0	3	0	1	0	0	5	1	1
SHROOM3	0	0	0	0	5	0	0	0	0	5	1	1
SLC22A15	1	0	0	0	3	1	0	0	0	5	1	1
SNX19	0	0	0	0	4	0	0	1	0	5	1	1
STARD9	0	0	0	0	5	0	0	0	0	5	1	1
SVIL	0	0	0	0	5	0	0	0	0	5	1	1
SYNC	0	0	0	0	5	0	0	0	0	5	1	1
SYTL2	0	0	0	0	5	0	0	0	0	5	1	1
TENM4	0	0	0	0	5	0	0	0	0	5	1	1
TNRC6A	0	0	1	0	4	0	0	0	0	5	1	1
TSPAN10	0	0	0	0	5	0	0	0	0	5	1	1
TSPOAP1	0	0	0	0	4	1	0	0	0	5	1	1
TTC3	0	0	0	0	4	0	0	1	0	5	1	1
UNC5C	0	0	0	0	5	0	0	0	0	5	1	1
USP40	0	0	0	1	3	0	0	1	0	5	1	1
VWF	0	0	0	0	5	0	0	0	0	5	1	1
